weryfikator,czy_blad,blad_pytania_nr,koder,lp_koder,lp_szkoly,klasa,oddział,id_ucznia,miejsc,Format,woj_nr,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10_M,P10_JP,P10P,P10B,P10C,P10F,P11,P12,P13_01,P13_02,P13_03,P13_04,P13_05,P13_06,P13_07,P13_08,P13_09,P13_10,P13_I,P14,P15_1,P15_2,P15_3,P15_4,P15_5,P 16,P 17,P 18,P 19,P 20,P 21,P 22,P 23,P 24,P 25,P 26,P 27,P 28,P 29,P 30,P 31,P 32,P 33,P 34,P 35,P 36,P 37,P 38,P 39,P 40,P 41,P 42,P 43,P 44,P 45,P 45a,P 45b,P 45c,P 45e,P 45f,P 45g,P 45h,P 45i,P 45k,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,W1_1,W1_2,W1_3,W1_4,W1_5,W1_6,W1_7,W1_8,W1_9,W1_10,W2_1,W2_2,W2_3,W2_4,W2_5,W2_6,W2_7,W2_8,W2_9,W2_10,W2_11,W2_12,W2_13,W2_14,W2_15,W3,W4,W5_1A,W5_2A,W5_3A,W5_4A,W5_1B,W5_2B,W5_3B,W5_4B,W5_1C,W5_2C,W5_3C,W5_4C,W5_1D,W5_2D,W5_3D,W5_4D,W5_1E,W5_2E,W5_3E,W5_4E,W5_1F,W5_2F,W5_3F,W5_4F,W5_1G,W5_2G,W5_3G,W5_4G,W5_1H,W5_2H,W5_3H,W5_4H,W5_1I,W5_2I,W5_3I,W5_4I,W5_1J,W5_2J,W5_3J,W5_4J,W5_1K,W5_2K,W5_3K,W5_4K,W5_1L,W5_2L,W5_3L,W5_4L,W5_1M,W5_2M,W5_3M,W5_4M,W5_1N,W5_2N,W5_3N,W5_4N,W5_1O,W5_2O,W5_3O,W5_4O,W5_1P,W5_2P,W5_3P,W5_4P,W5_1R,W5_2R,W5_3R,W5_4R,W5_1S,W5_2S,W5_3S,W5_4S,
,,,1,1,9,6,a,mur1,Władysławów,2,15,1,2007,2,2,2,1,szyje. różne poduszki i firany,1,drwal ścina drzewa,4,3,4,2,99,99,W przyszłości chciałbym zostać policjantem,1,0,0,0,0,0,0,1,0,0,0,99,4,1,0,0,0,0,5,1,1,1,2,2,5,4,5,1,5,4,4,5,5,3,2,4,1,5,1,5,5,3,5,5,5,4,4,3,0,0,0,0,0,0,0,0,To miejsce nazywa się szkoła podstawowa,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,3,1,3,1,2,1,3,1,3,1,4,4,5,4,5,4,1,5,5,1,3,4,4,2,4,Dowiedziałem się że na eksponatach było pięknie. Dużo różnych mechanizmów. szyfrowania. Najbardziej podobało mi się oszukaj swój wzrok.,Co podobało się ci na eksponatach?,2,1,2,3,1,1,1,1,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,2,2,3,1,2,2,3,2,1,2,3,2,2,2,3,2,2,2,3,1,1,1,1,1,2,2,2,
,,,1,2,9,6,a,mur2,Władysławów,2,15,1,2007,1,1,2,1,Jest nauczycielką,1,Jest kierowcą,4,5,99,4,99,99,Jeszcze nie wiem,3,1,0,0,0,0,0,0,0,0,0,99,3,0,0,0,0,1,1,1,2,1,3,2,2,3,3,4,3,4,4,4,3,4,4,4,4,3,4,2,4,5,3,4,4,4,5,1,3,0,0,0,0,0,0,0,Mój pokój,2,1,99,1,2,2,1,2,1,1,1,2,2,2,99,2,1,2,99,1,1,99,3,1,2,1,99,1,3,1,3,1,5,4,5,4,4,5,3,4,5,4,4,4,4,2,4,99,99,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,99,1,1,1,99,1,1,1,99,2,2,2,3,
,,,1,3,9,6,a,mur3,Władysławów,2,15,2,2007,1,2,2,2,99,1,Mój tata pracuje w wodociągach,4,4,99,3,99,99,Jeszcze nie wiem,4,0,0,1,0,0,0,0,0,0,0,99,5,0,1,0,0,0,1,3,3,1,3,1,4,2,3,3,4,5,5,4,4,3,5,5,1,2,2,1,4,5,3,2,4,4,5,1,3,0,0,0,0,0,1,1,Biurko w moim domu,2,2,2,2,1,99,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,3,1,3,1,3,1,2,1,2,1,3,1,5,5,5,5,5,3,5,5,2,3,5,3,3,Było fajnie!!! :),Jak działa to echo? :),1,1,1,99,1,1,1,99,1,1,1,99,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,99,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,3,2,2,1,2,1,1,1,99,1,1,1,99,1,1,1,99,2,2,2,3,
,,,1,4,9,6,a,mur4,Władysławów,2,15,1,2007,1,2,2,2,99,1,Mechanik,4,5,99,4,99,99,Fotograf,3,1,1,1,1,0,0,0,0,0,0,99,2,0,1,0,1,0,2,1,3,1,3,2,2,4,3,3,3,3,4,5,3,5,4,3,3,4,3,2,3,3,2,1,4,5,5,1,3,0,0,0,0,0,0,0,Mój pokój,2,2,1,2,2,1,1,2,1,2,1,1,2,1,1,1,99,2,99,99,1,99,3,1,2,1,3,1,3,1,3,1,4,1,4,4,5,4,1,4,5,4,5,4,4,2,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,3,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,2,1,99,2,2,2,3,1,1,1,99,2,2,2,3,
,,,1,5,9,6,a,mur5,Władysławów,2,15,1,2007,2,1,1,1,Moja mama jest kwiaciarką. zajmuje się kwiatami,1,Mój tata jest producentem krzeseł i foteli,4,4,5,5,99,99,Chciałbym zostać profesjonalnym kucharzem. i gotować dla innych ludzi mając swoją własną restaurację,3,0,0,1,0,0,0,0,0,0,0,99,2,0,1,0,0,0,3,5,3,2,3,3,2,3,3,4,3,4,5,5,3,3,3,5,4,3,4,4,2,2,3,4,3,5,4,1,1,0,0,0,0,0,0,0,Mój dom. tak mniej więcej,2,2,1,1,1,99,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,3,1,3,99,2,1,3,1,3,1,4,3,5,3,5,5,5,4,5,5,2,3,4,3,2,Dowiedziałem się wielu ciekawych rzeczy np. (próżnia czy 77) co spadnie pierwsze,Czy może mi pan wytłumaczyć o co w tym chodzi?,2,2,99,3,2,1,2,2,2,2,2,3,2,1,2,2,2,2,2,3,2,1,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,3,1,1,1,1,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,
,,,1,6,9,6,a,mur6,Władysławów,2,15,1,2007,1,7,7,2,sprzedawca,1,w gospodarstwie,2,4,99,4,99,99,weterynarz lub makijażystka,5,1,1,1,1,0,0,0,0,0,0,99,3,0,0,0,0,1,2,2,1,4,4,5,2,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,1,0,0,0,1,0,0,0,0,szkoła,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,99,1,1,3,1,3,1,3,1,3,1,3,1,5,2,5,5,5,5,5,1,5,5,5,5,5,2,5,Siła grawitacji działa tylko na 77 rzeczy pod ciśnieniem 30,Dlaczego przechodzi prąd z kuli na drugiego człowieka gdy się dotykają,2,2,2,3,2,2,1,3,2,2,2,3,2,2,1,3,2,2,2,3,2,2,2,3,2,2,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,1,1,3,1,1,1,2,1,1,1,2,2,2,2,3,
,,,1,7,9,6,a,mur7,Władysławów,2,15,1,2007,2,2,2,1,nie napiszę,1,nie napiszę,3,3,4,3,99,99,Stomatologię lub chirurgię,3,1,1,1,1,0,0,1,0,0,0,99,5,1,1,0,0,0,1,1,1,1,3,5,2,5,3,2,1,4,3,5,3,3,4,5,5,4,5,4,1,5,3,5,3,4,5,1,3,0,0,0,0,0,1,1,Mój pokój,2,1,2,1,88,99,1,2,1,2,1,1,2,88,1,1,2,2,2,1,88,1,3,2,2,2,1,1,1,1,3,1,3,2,5,4,5,5,3,1,3,2,3,1,1,5,1,Nic się nie dowiedziałem,99,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,3,99,2,2,3,1,1,1,1,2,99,2,3,2,99,2,3,2,2,2,3,2,1,1,1,2,2,1,2,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,
,,,1,8,9,6,a,mur8,Władysławów,2,15,1,2008,2,1,7,2,99,1,Pracuje w kopalni,4,5,99,4,99,99,Dokładnie nie wiem. ale bardzo lubię tańczyć i może coś w tym stylu...,2,0,1,1,0,0,0,0,0,0,0,99,3,0,0,0,0,1,1,3,1,1,3,2,1,2,3,4,3,4,4,5,2,4,3,4,2,2,1,1,3,3,3,3,4,3,4,1,1,0,0,1,0,0,0,0,szkoła i dom,2,99,1,88,88,1,1,2,1,2,2,88,1,2,99,2,99,99,1,1,1,88,3,1,2,1,2,88,1,1,99,1,3,4,5,4,4,5,2,3,5,3,4,3,3,3,4,Trochę pamięć ulepszyłem.Spróbowałem ułożyć z klocków figurę. Było fajnie.,Jak stworzono kulę z prądem?,2,2,99,2,99,2,1,2,2,2,99,1,2,2,2,3,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,3,2,2,2,3,2,2,1,2,2,2,99,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,1,3,1,1,1,2,1,1,1,1,2,1,2,3,
,,,1,9,9,6,a,mur9,Władysławów,2,15,1,2007,2,1,1,1,urzędnik,1,weterynarz,5,5,99,5,99,99,Doktor farmaceuta (ogólnie jeszcze nie wiem),4,1,0,0,0,0,0,0,0,0,0,99,4,0,1,1,0,0,1,2,3,1,3,3,2,3,2,4,3,4,4,4,2,4,3,5,5,3,4,5,5,4,3,3,4,5,5,1,0,1,1,0,0,0,0,0,Ogród. podwórko,2,88,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,3,1,2,1,2,1,2,1,2,2,4,3,5,5,4,4,3,4,4,4,4,3,4,4,3,Było ciekawie. Dobra zabawa. Eksponaty ciekawie zbudowane.,Jak to działa. Wiem pisało. Ale nie mam innego pytania w głowie :),2,2,2,2,2,1,2,2,2,2,2,3,2,1,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,3,1,1,1,99,1,1,1,99,99,99,99,99,
1,,,1,10,9,6,a,mur10,Władysławów,2,15,1,2007,2,1,2,1,Pracuje w ZUS,1,Jest stolarzem,5,5,99,4,99,99,Jeszcze nie wiem jaki zawód chciałbym wykonywać po ukończeniu nauki.,3,0,0,1,1,0,0,0,0,0,0,99,2,1,1,0,0,0,2,2,2,1,3,2,2,3,4,3,2,4,5,4,2,5,3,2,2,3,2,4,3,4,2,4,3,4,5,1,0,0,0,1,0,0,0,0,Szkoła,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,1,2,3,1,2,1,2,1,3,2,3,1,4,5,4,4,5,4,3,2,5,4,2,99,5,3,4,Była barzo ciekawa. Dowiedziałem się dużej ilości rzeczy. Chciałbym odwiedzić to miejsce jeszcze raz.,Chciałbym dowiedzieć się jak działa kula plazmowa.,2,2,2,2,1,1,1,1,2,2,1,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2,3,2,1,1,3,2,2,1,3,2,2,1,3,2,1,1,3,2,1,1,3,2,2,2,3,1,1,1,1,1,1,1,1,2,2,1,3,
